Timestep    Total   Potential   Kinetic
426: -623.3911604374723 -647.643182273189 24.2520218357167
427: -623.3911596491135 -647.6318665399009 24.240706890787344
428: -623.3911588873752 -647.6210157001677 24.22985681279251
429: -623.3911581525539 -647.6106435961308 24.219485443576914
430: -623.3911574449324 -647.6007636394648 24.2096061945324
431: -623.3911567647812 -647.5913888064765 24.200232041695337
432: -623.3911561123549 -647.5825316334191 24.19137552106419
433: -623.3911554878971 -647.5742042120363 24.183048724139205
434: -623.3911548916367 -647.5664181853228 24.175263293686147
435: -623.3911543237876 -647.559184743514 24.168030419726364
436: -623.3911537845519 -647.5525146203065 24.161360835754678
437: -623.3911532741158 -647.5464180893033 24.155264815187465
438: -623.391152792652 -647.5409049606942 24.149752168042284
439: -623.391152340319 -647.5359845781701 24.144832237851166
440: -623.3911519172609 -647.5316658160701 24.140513898809246
441: -623.3911515236064 -647.5279570767667 24.136805553160354
442: -623.3911511594711 -647.5248662882921 24.13371512882097
443: -623.3911508249541 -647.5224009021989 24.131250077244808
444: -623.3911505201423 -647.5205678916707 24.12941737152837
445: -623.3911502451047 -647.5193737498648 24.128223504760197
446: -623.3911499998975 -647.5188244885113 24.127674488613863
447: -623.3911497845605 -647.5189256367477 24.12777585218715
448: -623.3911495991202 -647.5196822402079 24.128532641087666
449: -623.3911494435845 -647.521098860351 24.129949416766546
450: -623.3911493179515 -647.5231795740526 24.13203025610104
451: -623.3911492221982 -647.5259279734253 24.13477875122703
452: -623.3911491562905 -647.5293471659124 24.138198009622
453: -623.3911491201768 -647.5334397746166 24.142290654439712
454: -623.3911491137902 -647.5382079388869 24.14705882509671
455: -623.3911491370492 -647.5436533151606 24.152504178111332
456: -623.3911491898574 -647.5497770780532 24.158627888195866
457: -623.3911492721003 -647.5565799217021 24.16543064960181
458: -623.3911493836509 -647.5640620613694 24.172912677718458
459: -623.3911495243646 -647.5722232352898 24.181073710925208
460: -623.3911496940826 -647.5810627067796 24.189913012696916
461: -623.3911498926309 -647.5905792665936 24.19942937396272
462: -623.3911501198183 -647.6007712355357 24.209621115717365
463: -623.3911503754408 -647.611636467326 24.220486091885164
464: -623.3911506592765 -647.6231723517118 24.232021692435307
465: -623.3911509710899 -647.6353758178382 24.24422484674829
466: -623.3911513106297 -647.6482433378618 24.257092027232122
467: -623.3911516776298 -647.6617709308172 24.27061925318747
468: -623.3911520718087 -647.675954166729 24.28480209492022
469: -623.3911524928698 -647.69078817097 24.299635678100266
470: -623.3911529405028 -647.7062676288676 24.315114688364773
471: -623.3911534143813 -647.7223867905453 24.331233376164086
472: -623.3911539141653 -647.7391394760137 24.347985561848464
473: -623.3911544394997 -647.756519080493 24.365364640993384
474: -623.3911549900151 -647.7745185799762 24.38336358996109
475: -623.3911555653294 -647.7931305370254 24.401974971695942
476: -623.3911561650452 -647.812347106796 24.421190941750737
477: -623.3911567887505 -647.8321600432918 24.441003254541187
478: -623.3911574360227 -647.8525607058481 24.461403269825432
479: -623.3911581064239 -647.873540065829 24.48238195940521
480: -623.3911587995026 -647.8950887135479 24.50392991404536
481: -623.3911595147957 -647.9171968654036 24.526037350607897
482: -623.3911602518278 -647.9398543712244 24.54869411939655
483: -623.3911610101097 -647.9630507218178 24.571889711708092
484: -623.3911617891415 -647.9867750567273 24.59561326758586
485: -623.3911625884105 -648.0110161721817 24.619853583771214
486: -623.3911634073944 -648.0357625292422 24.644599121847797
487: -623.3911642455581 -648.0610022621328 24.669838016574694
488: -623.3911651023559 -648.0867231867581 24.695558084402265
489: -623.3911659772327 -648.112912809399 24.72174683216624
490: -623.391166869622 -648.1395583355767 24.74839146595465
491: -623.3911677789483 -648.1666466790897 24.77547890014134
492: -623.3911687046273 -648.1941644712084 24.802995766581148
493: -623.3911696460654 -648.2220980700256 24.83092842396028
494: -623.39117060266 -648.250433569956 24.85926296729603
495: -623.3911715737992 -648.2791568113787 24.88798523757958
496: -623.3911725588669 -648.3082533904224 24.91708083155551
497: -623.3911735572358 -648.3377086688672 24.94653511163141
498: -623.3911745682751 -648.3675077841864 24.976333215911303
